GEN_NUM     POP_SIZE    BEST_FIT    AVG_FIT     STD_DEV_FIT 
1           1600        0.064       0.002       0.006       
2           1600        0.064       0.005       0.008       
3           1600        0.076       0.011       0.011       
4           1600        0.076       0.016       0.014       
5           1600        0.093       0.022       0.017       
6           1600        0.093       0.027       0.019       
7           1600        0.081       0.031       0.020       
8           1600        0.123       0.035       0.021       
9           1600        0.124       0.036       0.023       
10          1600        0.129       0.039       0.024       
11          1600        0.128       0.039       0.025       
12          1600        0.176       0.042       0.026       
13          1600        0.141       0.043       0.027       
14          1600        0.126       0.047       0.029       
15          1600        0.157       0.051       0.032       
16          1600        0.157       0.059       0.035       
17          1600        0.167       0.064       0.038       
18          1600        0.205       0.069       0.041       
19          1600        0.205       0.074       0.043       
20          1600        0.226       0.077       0.046       
21          1600        0.231       0.080       0.050       
22          1600        0.231       0.084       0.053       
23          1600        0.249       0.092       0.058       
24          1600        0.231       0.096       0.061       
25          1600        0.258       0.104       0.064       
26          1600        0.260       0.105       0.069       
27          1600        0.349       0.113       0.073       
28          1600        0.318       0.119       0.079       
29          1600        0.318       0.124       0.084       
30          1600        0.318       0.131       0.086       
31          1600        0.339       0.134       0.091       
32          1600        0.339       0.136       0.094       
33          1600        0.384       0.145       0.098       
34          1600        0.384       0.148       0.102       
35          1600        0.384       0.148       0.106       
36          1600        0.422       0.154       0.110       
37          1600        0.422       0.154       0.114       
38          1600        0.473       0.163       0.119       
39          1600        0.537       0.172       0.127       
40          1600        0.525       0.179       0.134       
41          1600        0.525       0.180       0.144       
42          1600        0.525       0.193       0.151       
43          1600        0.537       0.200       0.161       
44          1600        0.537       0.211       0.168       
45          1600        0.635       0.215       0.177       
46          1600        0.559       0.227       0.183       
47          1600        0.559       0.237       0.193       
48          1600        0.559       0.252       0.201       
49          1600        0.553       0.254       0.203       
50          1600        0.572       0.263       0.205       
51          1600        0.572       0.258       0.211       
52          1600        0.573       0.259       0.213       
53          1600        0.577       0.259       0.218       
54          1600        0.633       0.265       0.220       
55          1600        0.633       0.269       0.222       
56          1600        0.633       0.267       0.224       
57          1600        0.633       0.274       0.226       
58          1600        0.633       0.284       0.227       
59          1600        0.635       0.278       0.232       
60          1600        0.664       0.283       0.234       
61          1600        0.664       0.280       0.235       
62          1600        0.648       0.290       0.238       
63          1600        0.648       0.286       0.240       
64          1600        0.629       0.295       0.241       
65          1600        0.629       0.296       0.240       
66          1600        0.629       0.297       0.242       
67          1600        0.602       0.307       0.245       
68          1600        0.601       0.309       0.248       
69          1600        0.623       0.306       0.248       
70          1600        0.634       0.304       0.249       
71          1600        0.623       0.309       0.253       
72          1600        0.623       0.305       0.252       
73          1600        0.624       0.309       0.252       
74          1600        0.633       0.320       0.253       
75          1600        0.633       0.327       0.253       
76          1600        0.633       0.325       0.255       
77          1600        0.624       0.321       0.258       
78          1600        0.633       0.316       0.258       
79          1600        0.633       0.314       0.256       
80          1600        0.681       0.320       0.257       
81          1600        0.681       0.303       0.258       
82          1600        0.681       0.317       0.259       
83          1600        0.681       0.317       0.262       
84          1600        0.681       0.333       0.260       
85          1600        0.684       0.335       0.263       
86          1600        0.695       0.315       0.263       
87          1600        0.695       0.316       0.264       
88          1600        0.681       0.328       0.263       
89          1600        0.734       0.336       0.265       
90          1600        0.691       0.346       0.268       
91          1600        0.684       0.340       0.270       
92          1600        0.687       0.367       0.268       
93          1600        0.725       0.369       0.274       
94          1600        0.725       0.359       0.274       
95          1600        0.725       0.353       0.279       
96          1600        0.725       0.344       0.282       
97          1600        0.725       0.364       0.282       
98          1600        0.725       0.371       0.283       
99          1600        0.798       0.358       0.287       
100         1600        0.798       0.370       0.287       
