GEN_NUM     POP_SIZE    BEST_FIT    AVG_FIT     STD_DEV_FIT 
1           1600        0.197       0.005       0.016       
2           1600        0.210       0.017       0.028       
3           1600        0.220       0.031       0.036       
4           1600        0.220       0.046       0.041       
5           1600        0.220       0.060       0.045       
6           1600        0.225       0.072       0.050       
7           1600        0.225       0.082       0.056       
8           1600        0.228       0.091       0.063       
9           1600        0.228       0.102       0.068       
10          1600        0.228       0.112       0.071       
11          1600        0.228       0.122       0.074       
12          1600        0.228       0.133       0.075       
13          1600        0.229       0.137       0.079       
14          1600        0.237       0.141       0.080       
15          1600        0.237       0.148       0.079       
16          1600        0.237       0.150       0.081       
17          1600        0.239       0.150       0.084       
18          1600        0.237       0.153       0.084       
19          1600        0.253       0.153       0.085       
20          1600        0.253       0.160       0.084       
21          1600        0.253       0.161       0.085       
22          1600        0.253       0.159       0.088       
23          1600        0.253       0.166       0.085       
24          1600        0.255       0.161       0.090       
25          1600        0.255       0.170       0.085       
26          1600        0.255       0.170       0.086       
27          1600        0.255       0.173       0.085       
28          1600        0.257       0.171       0.087       
29          1600        0.257       0.171       0.089       
30          1600        0.259       0.172       0.089       
31          1600        0.263       0.178       0.086       
32          1600        0.275       0.179       0.086       
33          1600        0.275       0.173       0.091       
34          1600        0.275       0.176       0.090       
35          1600        0.281       0.179       0.089       
36          1600        0.277       0.181       0.088       
37          1600        0.277       0.185       0.088       
38          1600        0.277       0.183       0.090       
39          1600        0.289       0.183       0.091       
40          1600        0.289       0.189       0.087       
41          1600        0.289       0.189       0.089       
42          1600        0.289       0.193       0.088       
43          1600        0.289       0.195       0.088       
44          1600        0.289       0.194       0.090       
45          1600        0.289       0.193       0.090       
46          1600        0.295       0.200       0.087       
47          1600        0.298       0.197       0.090       
48          1600        0.298       0.196       0.092       
49          1600        0.298       0.194       0.095       
50          1600        0.298       0.199       0.094       
51          1600        0.304       0.198       0.094       
52          1600        0.305       0.203       0.093       
53          1600        0.305       0.199       0.097       
54          1600        0.308       0.200       0.098       
55          1600        0.308       0.201       0.095       
56          1600        0.305       0.200       0.098       
57          1600        0.305       0.200       0.099       
58          1600        0.306       0.206       0.096       
59          1600        0.309       0.200       0.100       
60          1600        0.309       0.203       0.100       
61          1600        0.309       0.201       0.101       
62          1600        0.312       0.207       0.098       
63          1600        0.310       0.209       0.099       
64          1600        0.328       0.208       0.099       
65          1600        0.328       0.204       0.103       
66          1600        0.335       0.205       0.103       
67          1600        0.344       0.211       0.102       
68          1600        0.340       0.213       0.102       
69          1600        0.340       0.211       0.101       
70          1600        0.340       0.214       0.101       
71          1600        0.331       0.213       0.102       
72          1600        0.331       0.214       0.102       
73          1600        0.338       0.211       0.105       
74          1600        0.339       0.213       0.104       
75          1600        0.339       0.217       0.104       
76          1600        0.339       0.215       0.104       
77          1600        0.355       0.214       0.106       
78          1600        0.354       0.213       0.107       
79          1600        0.345       0.215       0.106       
80          1600        0.354       0.215       0.108       
81          1600        0.354       0.221       0.106       
82          1600        0.354       0.219       0.108       
83          1600        0.354       0.218       0.110       
84          1600        0.352       0.215       0.112       
85          1600        0.358       0.221       0.108       
86          1600        0.358       0.223       0.109       
87          1600        0.363       0.221       0.110       
88          1600        0.363       0.225       0.110       
89          1600        0.368       0.223       0.111       
90          1600        0.368       0.231       0.110       
91          1600        0.368       0.230       0.110       
92          1600        0.368       0.227       0.113       
93          1600        0.368       0.232       0.111       
94          1600        0.368       0.231       0.112       
95          1600        0.368       0.231       0.113       
96          1600        0.373       0.231       0.113       
97          1600        0.373       0.235       0.114       
98          1600        0.373       0.237       0.112       
99          1600        0.373       0.235       0.114       
100         1600        0.391       0.237       0.113       
101         1600        0.391       0.239       0.114       
102         1600        0.391       0.242       0.112       
103         1600        0.391       0.241       0.114       
104         1600        0.391       0.248       0.111       
105         1600        0.402       0.247       0.113       
106         1600        0.402       0.249       0.114       
107         1600        0.402       0.251       0.111       
108         1600        0.402       0.250       0.112       
109         1600        0.402       0.252       0.114       
110         1600        0.402       0.257       0.113       
111         1600        0.406       0.257       0.114       
112         1600        0.402       0.253       0.121       
113         1600        0.402       0.259       0.115       
114         1600        0.412       0.261       0.116       
115         1600        0.412       0.259       0.116       
116         1600        0.405       0.257       0.119       
117         1600        0.406       0.259       0.121       
118         1600        0.416       0.253       0.122       
119         1600        0.416       0.252       0.123       
120         1600        0.416       0.260       0.121       
121         1600        0.416       0.258       0.124       
122         1600        0.416       0.258       0.124       
123         1600        0.424       0.255       0.129       
124         1600        0.424       0.264       0.123       
125         1600        0.424       0.260       0.128       
126         1600        0.424       0.261       0.127       
127         1600        0.424       0.264       0.127       
128         1600        0.424       0.260       0.128       
129         1600        0.429       0.262       0.128       
130         1600        0.429       0.261       0.131       
131         1600        0.429       0.257       0.131       
132         1600        0.443       0.257       0.134       
133         1600        0.435       0.262       0.132       
134         1600        0.435       0.264       0.132       
135         1600        0.435       0.258       0.135       
136         1600        0.435       0.265       0.135       
137         1600        0.438       0.262       0.138       
138         1600        0.443       0.260       0.141       
139         1600        0.443       0.263       0.141       
140         1600        0.446       0.262       0.142       
141         1600        0.452       0.263       0.144       
142         1600        0.452       0.266       0.144       
143         1600        0.452       0.267       0.145       
144         1600        0.453       0.263       0.147       
145         1600        0.459       0.269       0.146       
